Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
191,2,22,874.667,430.667,0,15.3,836.815,394.696,NA,33.993,NA,-64.44,-3.251
192,2,23,881.333,394.667,0,0.9,873.427,378.049,NA,36.612,NA,-79.509,-15.068
193,2,24,882.667,357.333,0,12.3,910.784,359.046,NA,37.357,NA,-87.955,-8.446
194,2,25,878.667,317.333,0,24.1,950.983,337.112,NA,40.2,NA,-95.711,-7.756
195,2,26,868,286.667,0,3,983.452,315.547,NA,32.469,NA,-109.179,-13.468
196,2,27,850.667,249.333,0,10.1,1024.613,287.818,NA,41.161,NA,-114.905,-5.726
197,2,28,828,218.667,0,3.7,1062.747,259.315,NA,38.134,NA,-126.469,-11.564
198,2,29,796,188,0,0.9,1107.069,224.254,NA,44.322,NA,-136.219,-9.75
199,2,30,762.667,166.667,0,2.1,1146.645,190.965,NA,39.576,NA,-147.381,-11.162
200,2,31,717.333,149.333,0,5.8,1195.179,148.006,NA,48.534,NA,-159.075,-11.695
201,2,32,678.667,150.667,0,10.7,1233.869,109.949,NA,38.69,NA,178.025,-22.899
202,2,33,636,150.667,0,19.1,1276.535,69.333,NA,42.667,NA,180,1.975
203,2,34,598.667,168,0,10.1,1317.696,28.253,NA,41.161,NA,155.095,-24.905
204,2,35,545.333,197.333,0,9.7,1378.564,33.333,NA,60.868,NA,151.189,-3.906
205,2,36,510.667,237.333,0,15.1,1431.496,85.801,NA,52.932,NA,130.914,-20.275
206,2,37,476,285.333,0,7,1490.705,144.499,NA,59.21,NA,125.838,-5.077
207,2,38,458.667,350.667,0,7.7,1558.299,207.096,NA,67.594,NA,104.859,-20.979
208,2,39,476,424,0,6,1633.653,264.689,NA,75.354,NA,76.701,-28.157
209,2,40,493.333,466.667,0,8,1679.706,299.837,NA,46.053,NA,67.891,-8.811
210,2,41,529.333,517.333,0,8,1741.86,342.667,NA,62.154,NA,54.605,-13.285
211,2,42,596,554.667,0,5,1818.268,378.096,NA,76.408,NA,29.249,-25.356
212,2,43,641.333,572,0,6,1866.802,400.71,NA,48.534,NA,20.925,-8.324
213,2,44,689.333,568,0,7.7,1914.969,407.906,NA,48.166,NA,-4.764,-25.688
214,2,45,724,557.333,0,6,1951.239,409.273,NA,36.271,NA,-17.103,-12.339
215,2,46,760,541.333,0,3.7,1990.635,409.683,NA,39.395,NA,-23.962,-6.86
216,2,47,793.333,525.333,0,11.7,2027.609,412.423,NA,36.974,NA,-25.641,-1.679
217,2,48,817.333,496,0,1.2,2065.51,402.165,NA,37.9,NA,-50.711,-25.07
218,2,49,846.667,461.333,0,24.1,2110.921,395.092,NA,45.412,NA,-49.764,0.947
219,2,50,860,428,0,12.9,2146.822,381.809,NA,35.901,NA,-68.199,-18.435
220,2,51,870.667,390.667,0,25.7,2185.65,367.033,NA,38.827,NA,-74.055,-5.856
221,2,52,865.333,360,0,1.7,2216.777,345.56,NA,31.127,NA,-99.866,-25.811
